Town,FIPS,Year,Age Range,Allegation Type,Report Status,Measure Type,Variable,Value
Ansonia,0900901220,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,194
Ansonia,0900901220,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,43
Ansonia,0900901220,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,17
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,33
Ansonia,0900901220,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,91
Ansonia,0900901220,2009,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,10
Ansonia,0900901220,2009,0 to 9,Sexual Abuse/Exploitation,Total reports,Number,Child Abuse and Neglect,13
Ansonia,0900901220,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,2
Ashford,0901501430,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Ashford,0901501430,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,45.56
Ashford,0901501430,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,88.73
Ashford,0901501430,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,71.94
Ashford,0901501430,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,0
Ashford,0901501430,2008,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,40.77
Ashford,0901501430,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,43.17
Ashford,0901501430,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,62.35
Ashford,0901501430,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,24
Ashford,0901501430,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,33.57
Ashford,0901501430,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,52
Ashford,0901501430,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
Ashford,0901501430,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Ashford,0901501430,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,19
Ashford,0901501430,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,27
Ashford,0901501430,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,2
Ashford,0901501430,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,36
Ashford,0901501430,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Ashford,0901501430,2011,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,11
Ashford,0901501430,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,38.37
Ashford,0901501430,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,69.54
Ashford,0901501430,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,10
Ashford,0901501430,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
Ashford,0901501430,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Ashford,0901501430,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,57.55
Ashford,0901501430,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Ashford,0901501430,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,26
Ashford,0901501430,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,18
Ashford,0901501430,2011,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,28.78
Ashford,0901501430,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,18
Ashford,0901501430,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ashford,0901501430,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,10
Ashford,0901501430,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Ashford,0901501430,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Ashford,0901501430,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Ashford,0901501430,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,124.7
Ashford,0901501430,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,30
Ashford,0901501430,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,64.75
Ashford,0901501430,2008,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,17
Ashford,0901501430,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Ashford,0901501430,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,11
